门锁编号,身份证号,加密后身份证号,操作类型,密码编号,操作结果,返回信息,操作时间戳,是否检查操作状态,下发密码状态码,密码检测信息,PwdUserName,mobile,生效时间,过期时间
11.140.2.58,421182198706084134,bd1b02751c1f2770bd54302c969988064663affecad19a98,1001,1,HH0000,成功,1547875809368,1,11,已启用,test-send-pass-xyb,13121651514,1547875809000,1547876109000
11.140.2.58,110224198907193845,6a06c025355352b87528ba568c07d2fddbc5454820713091,1001,2,HH0000,成功,1547876409368,1,11,已启用,test-send-pass-xyb,13121651514,1547876409000,1547876709000
11.140.2.58,450702198606305118,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,1001,3,HH0000,成功,1547877009368,1,11,已启用,test-send-pass-xyb,13121651514,1547877009000,1547877309000
11.140.2.58,130303199310022615,c80703254bda175f5ffd7ced782ece4681ad700c7e007f34,1001,4,HH0000,成功,1547877609368,1,11,已启用,test-send-pass-xyb,13121651514,1547877609000,1547877909000
11.140.2.58,411023198704115016,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,1001,5,HH0000,成功,1547878209368,1,11,已启用,test-send-pass-xyb,13121651514,1547878209000,1547878509000
11.140.2.58,421182198706084134,,1002,1,HH0000,成功,1547875839499,1,11,已启用,test-send-pass-xyb,13121651514,1547878809000,1547879109000
11.140.2.58,421182198706084134,,1002,1,HH0000,成功,1547875839499,1,03,删除中,test-send-pass-xyb,13121651514,1547875809000,1547876109000
11.140.2.58,110224198907193845,,1002,2,HH0000,成功,1547875844496,1,11,已启用,test-send-pass-xyb,13121651514,1547879409000,1547879709000
11.140.2.58,110224198907193845,,1002,2,HH0000,成功,1547875844496,1,03,删除中,test-send-pass-xyb,13121651514,1547876409000,1547876709000
11.140.2.58,450702198606305118,,1002,3,HH0000,成功,1547875849494,1,11,已启用,test-send-pass-xyb,13121651514,1547880009000,1547880309000
11.140.2.58,450702198606305118,,1002,3,HH0000,成功,1547875849494,1,03,删除中,test-send-pass-xyb,13121651514,1547877009000,1547877309000
11.140.2.58,130303199310022615,,1002,4,HH0000,成功,1547875854489,1,11,已启用,test-send-pass-xyb,13121651514,1547880609000,1547880909000
11.140.2.58,130303199310022615,,1002,4,HH0000,成功,1547875854489,1,03,删除中,test-send-pass-xyb,13121651514,1547877609000,1547877909000
11.140.2.58,411023198704115016,,1002,5,HH0000,成功,1547875859493,1,11,已启用,test-send-pass-xyb,13121651514,1547881209000,1547881509000
11.140.2.58,411023198704115016,,1002,5,HH0000,成功,1547875859493,1,03,删除中,test-send-pass-xyb,13121651514,1547878209000,1547878509000
11.140.2.58,421182198706084134,,1002,6,HH0000,成功,1547875864486,1,01,启用中,test-send-pass-xyb,13121651514,1547881809000,1547882109000
11.140.2.58,421182198706084134,,1002,6,HH0000,成功,1547875864486,1,03,删除中,test-send-pass-xyb,13121651514,1547878809000,1547879109000
11.140.2.58,110224198907193845,,1002,1,HH0000,成功,1547875869501,1,01,启用中,test-send-pass-xyb,13121651514,1547882409000,1547882709000
11.140.2.58,110224198907193845,,1002,1,HH0000,成功,1547875869501,1,03,删除中,test-send-pass-xyb,13121651514,1547879409000,1547879709000
11.140.2.58,450702198606305118,,1002,2,HH0000,成功,1547875874504,1,11,已启用,test-send-pass-xyb,13121651514,1547883009000,1547883309000
11.140.2.58,450702198606305118,,1002,2,HH0000,成功,1547875874504,1,03,删除中,test-send-pass-xyb,13121651514,1547880009000,1547880309000
,,bd1b02751c1f2770bd54302c969988064663affecad19a98,1001,0,OPS03107,门锁或网关通讯异常，您暂时无法操作密码。,1547907099471,0,,,,,0,0
,,6a06c025355352b87528ba568c07d2fddbc5454820713091,1001,0,OPS03107,门锁或网关通讯异常，您暂时无法操作密码。,1547907699471,0,,,,,0,0
,,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,1001,0,OPS03107,门锁或网关通讯异常，您暂时无法操作密码。,1547908299471,0,,,,,0,0
,,c80703254bda175f5ffd7ced782ece4681ad700c7e007f34,1001,0,OPS03107,门锁或网关通讯异常，您暂时无法操作密码。,1547908899471,0,,,,,0,0
