门锁编号,身份证号(加密后),密码编号,操作类型,操作结果,返回信息,时间戳,调用返回结果
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,1,1001,HH0000,成功,1547791836134,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f9552da006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,2,1001,HH0000,成功,1547795436134,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f957967006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,3,1001,HH0000,成功,1547799036134,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":3,""business_id"":""1685f95a06e006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,4,1001,HH0000,成功,1547802636134,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":4,""business_id"":""1685f95c777006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,5,1001,HH0000,成功,1547806236134,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":5,""business_id"":""1685f95f029006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,6,1001,HH0000,成功,1547809836134,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":6,""business_id"":""1685f96159e006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,1,1002,HH0000,成功,1547791896326,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f961617006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55,1,1001,HH0000,成功,1547813436134,"{""data"":{""card_no"":""480857b15abbcc12d1d4ccafc1a7e454a90c5fdf0e021b55"",""lock_no"":""11.140.2.58"",""pwd_no"":1,""business_id"":""1685f963ca9006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284,7,1001,HH0000,成功,1547817036134,"{""data"":{""card_no"":""cd39c660382e1b00eb590923ddb5ed44740d274d3dfb8284"",""lock_no"":""11.140.2.58"",""pwd_no"":7,""business_id"":""1685f9663cc006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
11.140.2.58,,2,1002,HH0000,成功,1547791916300,"{""data"":{""lock_no"":""11.140.2.58"",""pwd_no"":2,""business_id"":""1685f966421006""},""rlt_code"":""HH0000"",""rlt_msg"":""成功""}"
